1589402677.741242080 1 weibo.com weibo.com 59
1589402678.550181872 1 www.weibo.com weibo.com.edgekey.net 59
1589402678.550181872 2 weibo.com.edgekey.net e4141.dscb.akamaiedge.net 21114
1589402678.550181872 3 e4141.dscb.akamaiedge.net www.weibo.com 19
1589402680.171047572 1 img.t.sinajs.cn imgt.gslb.sinaedge.com 25
1589402680.171047572 2 imgt.gslb.sinaedge.com edgeh2.grid.sinaedge.com 59
1589402680.171047572 3 edgeh2.grid.sinaedge.com d.sinaimg.cn.edgekey.net 59
1589402680.171047572 4 d.sinaimg.cn.edgekey.net e4141.dscb.akamaiedge.net 245
1589402680.171047572 5 e4141.dscb.akamaiedge.net img.t.sinajs.cn 19
1589402680.272263529 1 www.google-analytics.com www-google-analytics.l.google.com 21565
1589402680.272263529 2 www-google-analytics.l.google.com www.google-analytics.com 265
1589402680.415192165 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1589402680.415192165 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1589402680.415192165 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1589402680.415192165 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1589402680.415192165 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1589402680.481130737 1 js.t.sinajs.cn jst.gslb.sinaedge.com 59
1589402680.481130737 2 jst.gslb.sinaedge.com edgeh2.grid.sinaedge.com 59
1589402680.481130737 3 edgeh2.grid.sinaedge.com d.sinaimg.cn.edgekey.net 59
1589402680.481130737 4 d.sinaimg.cn.edgekey.net e4141.dscb.akamaiedge.net 246
1589402680.481130737 5 e4141.dscb.akamaiedge.net js.t.sinajs.cn 19
1589402680.526897703 1 www.google.com www.google.com 181
1589402680.779691895 1 www.google.es www.google.es 299
1589402680.958708221 1 ipopimgs.sina.tw ipopimgs.sina.tw 299
1589402680.958708221 2 ipopimgs.sina.tw ipopimgs.sina.tw 299
1589402681.240040624 1 tw.weibo.com tw.weibo.com 59
1589402681.242962053 1 api.tw.weibo.com api.tw.weibo.com 59
1589402681.386328782 1 h5.sinaimg.cn h5sinaimg.gslb.sinaedge.com 59
1589402681.386328782 2 h5sinaimg.gslb.sinaedge.com kln.grid.sinaedge.com 59
1589402681.386328782 3 kln.grid.sinaedge.com d.sinaimg.cn.edgekey.net 59
1589402681.386328782 4 d.sinaimg.cn.edgekey.net e4141.dscb.akamaiedge.net 238
1589402681.386328782 5 e4141.dscb.akamaiedge.net h5.sinaimg.cn 19
1589402681.553715005 1 wx4.sinaimg.cn weiboimgwx.gslb.sinaedge.com 59
1589402681.553715005 2 weiboimgwx.gslb.sinaedge.com weiboimgwx.grid.sinaedge.com 299
1589402681.553715005 3 weiboimgwx.grid.sinaedge.com ww1.sinaimg.cn.w.alikunlun.com 59
1589402681.553715005 4 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 38
1589402681.553715005 5 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 38
1589402681.553715005 6 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 38
1589402681.553715005 7 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 38
1589402681.553715005 8 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 38
1589402681.553715005 9 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 38
1589402681.553715005 10 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 38
1589402681.553715005 11 ww1.sinaimg.cn.w.alikunlun.com wx4.sinaimg.cn 38
