1589376016.497486839 1 weibo.com weibo.com 59
1589376017.396140773 1 www.weibo.com weibo.com.edgekey.net 59
1589376017.396140773 2 weibo.com.edgekey.net e4141.dscb.akamaiedge.net 20901
1589376017.396140773 3 e4141.dscb.akamaiedge.net www.weibo.com 19
1589376019.646243735 1 js.t.sinajs.cn jst.gslb.sinaedge.com 59
1589376019.646243735 2 jst.gslb.sinaedge.com edgeh2.grid.sinaedge.com 59
1589376019.646243735 3 edgeh2.grid.sinaedge.com d.sinaimg.cn.edgekey.net 59
1589376019.646243735 4 d.sinaimg.cn.edgekey.net e4141.dscb.akamaiedge.net 86
1589376019.646243735 5 e4141.dscb.akamaiedge.net js.t.sinajs.cn 19
1589376019.646433461 1 img.t.sinajs.cn imgt.gslb.sinaedge.com 59
1589376019.646433461 2 imgt.gslb.sinaedge.com edgeh2.grid.sinaedge.com 59
1589376019.646433461 3 edgeh2.grid.sinaedge.com d.sinaimg.cn.edgekey.net 59
1589376019.646433461 4 d.sinaimg.cn.edgekey.net e4141.dscb.akamaiedge.net 181
1589376019.646433461 5 e4141.dscb.akamaiedge.net img.t.sinajs.cn 19
1589376019.996304240 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1589376019.996304240 2 www-google-analytics.l.google.com www.google-analytics.com 299
1589376020.410277443 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1589376020.410277443 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1589376020.410277443 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1589376020.410277443 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1589376020.410277443 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1589376020.433175218 1 api.tw.weibo.com api.tw.weibo.com 26
1589376020.469213274 1 ipopimgs.sina.tw ipopimgs.sina.tw 299
1589376020.469213274 2 ipopimgs.sina.tw ipopimgs.sina.tw 299
1589376020.818826439 1 tw.weibo.com tw.weibo.com 59
1589376020.910874512 1 h5.sinaimg.cn h5sinaimg.gslb.sinaedge.com 59
1589376020.910874512 2 h5sinaimg.gslb.sinaedge.com kln.grid.sinaedge.com 59
1589376020.910874512 3 kln.grid.sinaedge.com d.sinaimg.cn.edgekey.net 59
1589376020.910874512 4 d.sinaimg.cn.edgekey.net e4141.dscb.akamaiedge.net 182
1589376020.910874512 5 e4141.dscb.akamaiedge.net h5.sinaimg.cn 19
1589376020.937937114 1 wx3.sinaimg.cn weiboimgwx.gslb.sinaedge.com 27
1589376020.937937114 2 weiboimgwx.gslb.sinaedge.com weiboimgwx.grid.sinaedge.com 267
1589376020.937937114 3 weiboimgwx.grid.sinaedge.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 4 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 5 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 6 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 7 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 8 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 9 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 10 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 11 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 12 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 13 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 14 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 15 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 16 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 17 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 27
1589376020.937937114 18 ww1.sinaimg.cn.w.alikunlun.com wx3.sinaimg.cn 27
1589376020.962111522 1 www.google.com www.google.com 299
1589376021.490942864 1 js1.t.sinajs.cn imgtjst.gslb.sinaedge.com 59
1589376021.490942864 2 imgtjst.gslb.sinaedge.com kln.grid.sinaedge.com 59
1589376021.490942864 3 kln.grid.sinaedge.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.490942864 4 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.490942864 5 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.490942864 6 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.490942864 7 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.490942864 8 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.490942864 9 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.490942864 10 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.490942864 11 ww1.sinaimg.cn.w.alikunlun.com js1.t.sinajs.cn 59
1589376021.527330668 1 tvax4.sinaimg.cn tvaxweibo.gslb.sinaedge.com 59
1589376021.527330668 2 tvaxweibo.gslb.sinaedge.com tvaxweibo.grid.sinaedge.com 59
1589376021.527330668 3 tvaxweibo.grid.sinaedge.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.527330668 4 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.527330668 5 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.527330668 6 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.527330668 7 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589376021.527330668 8 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
