1580744676.891666310 1 sp0.baidu.com www.a.shifen.com 538
1580744676.891666310 2 www.a.shifen.com www.wshifen.com 129
1580744676.891666310 3 www.wshifen.com sp0.baidu.com 130
1580744676.924252645 1 api.geetest.com api-geetest-com-1246706525.eu-west-1.elb.amazonaws.com 9
1580744676.924252645 2 api-geetest-com-1246706525.eu-west-1.elb.amazonaws.com api-geetest-com-1246706525.eu-west-1.elb.amazonaws.com 6
1580744676.924252645 3 api-geetest-com-1246706525.eu-west-1.elb.amazonaws.com api.geetest.com 6
1580744677.806079356 1 static.geetest.com static.geetest.com.w.cdngslb.com 9
1580744677.806079356 2 static.geetest.com.w.cdngslb.com static.geetest.com.w.cdngslb.com 59
1580744677.806079356 3 static.geetest.com.w.cdngslb.com static.geetest.com.w.cdngslb.com 59
1580744677.806079356 4 static.geetest.com.w.cdngslb.com static.geetest.com.w.cdngslb.com 59
1580744677.806079356 5 static.geetest.com.w.cdngslb.com static.geetest.com.w.cdngslb.com 59
1580744677.806079356 6 static.geetest.com.w.cdngslb.com static.geetest.com.w.cdngslb.com 59
1580744677.806079356 7 static.geetest.com.w.cdngslb.com static.geetest.com.w.cdngslb.com 59
1580744677.806079356 8 static.geetest.com.w.cdngslb.com static.geetest.com.w.cdngslb.com 59
1580744677.806079356 9 static.geetest.com.w.cdngslb.com static.geetest.com 59
1580744689.612674480 1 detectportal.firefox.com detectportal.prod.mozaws.net 10
1580744689.612674480 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 23
1580744689.612674480 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 11038
1580744689.612674480 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580744689.612674480 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580744689.612736480 1 detectportal.firefox.com detectportal.prod.mozaws.net 10
1580744689.612736480 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 23
1580744689.612736480 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 11038
1580744689.612736480 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580744689.612736480 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580744689.707512564 1 mozilla.org mozilla.org 20
1580744689.711452487 1 mozilla.org mozilla.org 49
1580744689.711509761 1 mozilla.org mozilla.org 1779
1580744689.747765220 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 49
1580744689.747765220 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 51
1580744689.747765220 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 51
1580744689.747765220 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 51
1580744689.747813805 1 location.services.mozilla.com prod.mozaws.net 26
1580744689.747813805 2 prod.mozaws.net location.services.mozilla.com 106
1580744689.757646495 1 detectportal.firefox.com detectportal.prod.mozaws.net 28
1580744689.757646495 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 21
1580744689.757646495 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21507
1580744689.757646495 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580744689.757646495 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580744689.758084597 1 detectportal.firefox.com detectportal.prod.mozaws.net 28
1580744689.758084597 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 21
1580744689.758084597 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21507
1580744689.758084597 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580744689.758084597 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580744689.965902833 1 ocsp.digicert.com wac.phicdn.net 15512
1580744689.965902833 2 wac.phicdn.net ocsp.digicert.com 508
1580744689.965964986 1 ocsp.digicert.com cs9.wac.phicdn.net 15577
1580744689.965964986 2 cs9.wac.phicdn.net ocsp.digicert.com 3046
