1579671423.353015613 10 map16-100.s.section.io static.hotjar.com 95
1579671423.636631738 1 sqs.us-west-2.amazonaws.com us-west-2.queue.amazonaws.com 19438
1579671423.636631738 2 us-west-2.queue.amazonaws.com sqs.us-west-2.amazonaws.com 16
1579671423.637676700 1 ed925ef03c80.cdn4.forter.com ed925ef03c80.cdn4.forter.com 59
1579671423.637676700 2 ed925ef03c80.cdn4.forter.com ed925ef03c80.cdn4.forter.com 59
1579671423.637676700 3 ed925ef03c80.cdn4.forter.com ed925ef03c80.cdn4.forter.com 59
1579671423.637676700 4 ed925ef03c80.cdn4.forter.com ed925ef03c80.cdn4.forter.com 59
1579671424.040055023 1 script.hotjar.com script.hotjar.com.c.section.io 1878
1579671424.040055023 2 script.hotjar.com.c.section.io map16-100.s.section.io 198
1579671424.040055023 3 map16-100.s.section.io map16-100.s.section.io 52
1579671424.040055023 4 map16-100.s.section.io map16-100.s.section.io 52
1579671424.040055023 5 map16-100.s.section.io map16-100.s.section.io 52
1579671424.040055023 6 map16-100.s.section.io map16-100.s.section.io 52
1579671424.040055023 7 map16-100.s.section.io map16-100.s.section.io 52
1579671424.040055023 8 map16-100.s.section.io map16-100.s.section.io 52
1579671424.040055023 9 map16-100.s.section.io map16-100.s.section.io 52
1579671424.040055023 10 map16-100.s.section.io script.hotjar.com 52
1579671424.268849901 1 saika-v3.b2w.io wildsan.b2wdigital.com.edgekey.net 0
1579671424.268849901 2 wildsan.b2wdigital.com.edgekey.net e6654.dscg.akamaiedge.net 21599
1579671424.268849901 3 e6654.dscg.akamaiedge.net saika-v3.b2w.io 19
1579671424.385763598 1 cm.g.doubleclick.net pagead.l.doubleclick.net 21599
1579671424.385763598 2 pagead.l.doubleclick.net cm.g.doubleclick.net 299
1579671424.390276793 1 vars.hotjar.com vars.hotjar.com.c.section.io 1947
1579671424.390276793 2 vars.hotjar.com.c.section.io map16-100.s.section.io 131
1579671424.390276793 3 map16-100.s.section.io map16-100.s.section.io 87
1579671424.390276793 4 map16-100.s.section.io map16-100.s.section.io 87
1579671424.390276793 5 map16-100.s.section.io map16-100.s.section.io 87
1579671424.390276793 6 map16-100.s.section.io map16-100.s.section.io 87
1579671424.390276793 7 map16-100.s.section.io map16-100.s.section.io 87
1579671424.390276793 8 map16-100.s.section.io map16-100.s.section.io 87
1579671424.390276793 9 map16-100.s.section.io map16-100.s.section.io 87
1579671424.390276793 10 map16-100.s.section.io vars.hotjar.com 87
1579671424.406780533 1 v2datalakeb2wio-a.akamaihd.net v2datalakeb2wio-a.akamaihd.net.edgesuite.net 100
1579671424.406780533 2 v2datalakeb2wio-a.akamaihd.net.edgesuite.net a1829.g1.akamai.net 20184
1579671424.406780533 3 a1829.g1.akamai.net a1829.g1.akamai.net 19
1579671424.406780533 4 a1829.g1.akamai.net v2datalakeb2wio-a.akamaihd.net 19
1579671425.308145504 1 b2tracker.ad5track.com b2wads-tracker-1.us-east-1.elasticbeanstalk.com 299
1579671425.308145504 2 b2wads-tracker-1.us-east-1.elasticbeanstalk.com b2wads-tracker-1.us-east-1.elasticbeanstalk.com 59
1579671425.308145504 3 b2wads-tracker-1.us-east-1.elasticbeanstalk.com b2tracker.ad5track.com 59
1579671425.750651951 1 cdn9.forter.com cdn9.forter.com 59
1579671425.750651951 2 cdn9.forter.com cdn9.forter.com 59
1579671425.750651951 3 cdn9.forter.com cdn9.forter.com 59
1579671425.750651951 4 cdn9.forter.com cdn9.forter.com 59
1579671425.764228507 1 cdn3.forter.com cdn3.forter.com 18
