1589352663.550315815 1 accounts.google.com accounts.google.com 180
1589352663.679508782 1 yy.com yy.com 119
1589352663.679508782 2 yy.com yy.com 119
1589352665.466561961 1 www.yy.com www.yy.com 58
1589352665.466561961 2 www.yy.com www.yy.com 58
1589352665.466561961 3 www.yy.com www.yy.com 58
1589352665.466561961 4 www.yy.com www.yy.com 58
1589352666.531728365 1 wap.yy.com wap.yy.com 59
1589352666.531728365 2 wap.yy.com wap.yy.com 59
1589352666.531728365 3 wap.yy.com wap.yy.com 59
1589352666.531728365 4 wap.yy.com wap.yy.com 59
1589352666.531728365 5 wap.yy.com wap.yy.com 59
1589352669.967375691 1 <Root> jnwfvywhyzeb 86392
1589352669.968218258 1 <Root> qrsukugzgt 86379
1589352669.970332978 1 <Root> gxwxitqbdvm 86382
1589352672.961097050 1 ssl.gstatic.com ssl.gstatic.com 299
1589352681.057061964 1 web.yystatic.com web.yystatic.com.w.kunlunpi.com 50
1589352681.057061964 2 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 3 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 4 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 5 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 6 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 7 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 8 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 9 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 10 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 11 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 12 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 13 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 14 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 15 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 16 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589352681.057061964 17 web.yystatic.com.w.kunlunpi.com web.yystatic.com 59
1589352681.852067759 1 wq.yy.com wq.yy.com 59
1589352681.852067759 2 wq.yy.com wq.yy.com 59
1589352681.852067759 3 wq.yy.com wq.yy.com 59
1589352682.555847089 1 cdn.hiido.com cdn.hiido.com.w.kunlunle.com 599
1589352682.555847089 2 cdn.hiido.com.w.kunlunle.com cdn.hiido.com.w.kunlunle.com 59
1589352682.555847089 3 cdn.hiido.com.w.kunlunle.com cdn.hiido.com.w.kunlunle.com 59
