1579737347.004630549 1 tpc.googlesyndication.com tpc.googlesyndication.com 155
1579737347.106734866 1 jstracer.yandex.ru an.yandex.ru 343
1579737347.106734866 2 an.yandex.ru an.yandex.ru 343
1579737347.106734866 3 an.yandex.ru an.yandex.ru 343
1579737347.106734866 4 an.yandex.ru an.yandex.ru 343
1579737347.106734866 5 an.yandex.ru an.yandex.ru 343
1579737347.106734866 6 an.yandex.ru jstracer.yandex.ru 343
1579737347.161739371 1 ad.doubleclick.net dart.l.doubleclick.net 21599
1579737347.161739371 2 dart.l.doubleclick.net ad.doubleclick.net 299
1579737347.165808003 1 static.criteo.net static.par.vip.prod.criteo.net 299
1579737347.165808003 2 static.par.vip.prod.criteo.net static.criteo.net 299
1579737347.216854195 1 www.googletagservices.com pagead46.l.doubleclick.net 21480
1579737347.216854195 2 pagead46.l.doubleclick.net www.googletagservices.com 180
1579737348.061033169 1 ads.adfox.ru ads.adfox.ru 243
1579737348.117866320 1 ysa-static.passport.yandex.ru ysa-static.passport.yandex.net 3132
1579737348.117866320 2 ysa-static.passport.yandex.net ysa-static.passport.yandex.ru 472
1579737348.665503153 1 yandex.ru yandex.ru 155
1579737348.665503153 2 yandex.ru yandex.ru 155
1579737348.665503153 3 yandex.ru yandex.ru 155
1579737348.665503153 4 yandex.ru yandex.ru 155
1579737348.820791580 1 cdn.ampproject.org cdn-content.ampproject.org 299
1579737348.820791580 2 cdn-content.ampproject.org cdn.ampproject.org 299
1579737348.951390615 1 pagead2.googlesyndication.com pagead46.l.doubleclick.net 299
1579737348.951390615 2 pagead46.l.doubleclick.net pagead2.googlesyndication.com 299
1579737349.472211299 1 www.googleadservices.com pagead.l.doubleclick.net 299
1579737349.472211299 2 pagead.l.doubleclick.net www.googleadservices.com 299
1579737349.526988108 1 track.adform.net track-eu.adformnet.akadns.net 29
1579737349.526988108 2 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 430
1579737349.526988108 3 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 430
1579737349.526988108 4 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 430
1579737349.526988108 5 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 430
1579737349.526988108 6 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 430
1579737349.526988108 7 track-eu.adformnet.akadns.net track.adform.net 430
1579737349.619976529 1 fonts.googleapis.com fonts.googleapis.com 241
1579737349.650585738 1 googleads.g.doubleclick.net pagead46.l.doubleclick.net 299
1579737349.650585738 2 pagead46.l.doubleclick.net googleads.g.doubleclick.net 299
1579737349.816317879 1 www.google.com www.google.com 232
1579737349.888378922 1 s1.adform.net s1-eu.adformnet.akadns.net 984
1579737349.888378922 2 s1-eu.adformnet.akadns.net s1-eu.adformnet.akadns.net 193
1579737349.888378922 3 s1-eu.adformnet.akadns.net s1-eu.adformnet.akadns.net 193
1579737349.888378922 4 s1-eu.adformnet.akadns.net s1.adform.net 193
1579737349.960384012 1 csi.gstatic.com csi.gstatic.com 299
1579737350.061077087 1 eus.rubiconproject.com eus.rubiconproject.com.edgekey.net 3443
1579737350.061077087 2 eus.rubiconproject.com.edgekey.net e8960.b.akamaiedge.net 21425
1579737350.061077087 3 e8960.b.akamaiedge.net eus.rubiconproject.com 19
1579737350.065817248 1 acdn.adnxs.com prod.appnexus.map.fastly.net 382
1579737350.065817248 2 prod.appnexus.map.fastly.net acdn.adnxs.com 29
1579737350.093148072 1 www.google.es www.google.es 182
1579737350.489895798 1 fonts.gstatic.com gstaticadssl.l.google.com 241
1579737350.489895798 2 gstaticadssl.l.google.com fonts.gstatic.com 241
1579737350.723310023 1 <Root> todo 86361
1579737350.742538192 1 gcm.ctnsnet.com gcm.ctnsnet.com 213
1579737350.743775969 1 eb2.3lift.com eu-eb2.3lift.com 11848
1579737350.743775969 2 eu-eb2.3lift.com dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com 3333
1579737350.743775969 3 dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com 33
1579737350.743775969 4 dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com 33
1579737350.743775969 5 dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com 33
1579737350.743775969 6 dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com 33
1579737350.743775969 7 dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com 33
1579737350.743775969 8 dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com 33
1579737350.743775969 9 dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com 33
1579737350.743775969 10 dualstack.engagement-bus-prod-641612343.eu-central-1.elb.amazonaws.com eb2.3lift.com 33
1579737350.744377492 1 ad.turn.com ad.turn.com.akadns.net 382
1579737350.744377492 2 ad.turn.com.akadns.net ad.turn.com 299
1579737350.747423580 1 sync.mathtag.com pixel-origin.mathtag.com 898
1579737350.747423580 2 pixel-origin.mathtag.com pixel-origin.mathtag.com 28
1579737350.747423580 3 pixel-origin.mathtag.com pixel-origin.mathtag.com 28
1579737350.747423580 4 pixel-origin.mathtag.com pixel-origin.mathtag.com 28
1579737350.747423580 5 pixel-origin.mathtag.com sync.mathtag.com 28
1579737350.747910543 1 cms.quantserve.com 2kpixel.quantserve.com 61
1579737350.747910543 2 2kpixel.quantserve.com global.px.quantserve.com 61
1579737350.747910543 3 global.px.quantserve.com pixel-euc102-lighttpd.pixel.quantserve.net 59
1579737350.747910543 4 pixel-euc102-lighttpd.pixel.quantserve.net internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 103
1579737350.747910543 5 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 40
1579737350.747910543 6 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 40
1579737350.747910543 7 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 40
1579737350.747910543 8 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 40
1579737350.747910543 9 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 40
1579737350.747910543 10 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 40
1579737350.747910543 11 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 40
1579737350.747910543 12 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com cms.quantserve.com 40
1579737350.749007774 1 um.simpli.fi um.simpli.fi 299
1579737350.749007774 2 um.simpli.fi um.simpli.fi 299
1579737350.749007774 3 um.simpli.fi um.simpli.fi 299
1579737350.750386535 1 id.rlcdn.com id.rlcdn.com 268
1579737350.751115836 1 token.rubiconproject.com pixel.rubiconproject.net.akadns.net 3249
1579737350.751115836 2 pixel.rubiconproject.net.akadns.net pixel.rubiconproject.net.akadns.net 168
1579737350.751115836 3 pixel.rubiconproject.net.akadns.net pixel.rubiconproject.net.akadns.net 168
1579737350.751115836 4 pixel.rubiconproject.net.akadns.net token.rubiconproject.com 168
1579737350.753750135 1 www.facebook.com star-mini.c10r.facebook.com 3458
1579737350.753750135 2 star-mini.c10r.facebook.com www.facebook.com 59
1579737350.765360327 1 cm.g.doubleclick.net pagead.l.doubleclick.net 21490
1579737350.765360327 2 pagead.l.doubleclick.net cm.g.doubleclick.net 190
1579737350.767416397 1 id.sharedid.org sharedid-2070269664.us-east-1.elb.amazonaws.com 23
1579737350.767416397 2 sharedid-2070269664.us-east-1.elb.amazonaws.com sharedid-2070269664.us-east-1.elb.amazonaws.com 27
1579737350.767416397 3 sharedid-2070269664.us-east-1.elb.amazonaws.com id.sharedid.org 27
1579737350.771828013 1 match.adsrvr.org match-1943069928.eu-west-1.elb.amazonaws.com 2948
1579737350.771828013 2 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 56
1579737350.771828013 3 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 56
1579737350.771828013 4 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 56
1579737350.771828013 5 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 56
1579737350.771828013 6 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 56
1579737350.771828013 7 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 56
1579737350.771828013 8 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 56
1579737350.771828013 9 match-1943069928.eu-west-1.elb.amazonaws.com match.adsrvr.org 56
1579737350.777573730 1 secure.adnxs.com g.geogslb.com 7046
1579737350.777573730 2 g.geogslb.com ib.anycast.adnxs.com 5326
1579737350.777573730 3 ib.anycast.adnxs.com ib.anycast.adnxs.com 87
1579737350.777573730 4 ib.anycast.adnxs.com ib.anycast.adnxs.com 87
1579737350.777573730 5 ib.anycast.adnxs.com ib.anycast.adnxs.com 87
1579737350.777573730 6 ib.anycast.adnxs.com ib.anycast.adnxs.com 87
1579737350.777573730 7 ib.anycast.adnxs.com ib.anycast.adnxs.com 87
1579737350.777573730 8 ib.anycast.adnxs.com ib.anycast.adnxs.com 87
1579737350.777573730 9 ib.anycast.adnxs.com ib.anycast.adnxs.com 87
1579737350.777573730 10 ib.anycast.adnxs.com secure.adnxs.com 87
1579737350.781859832 1 sync-tm.everesttech.net sync.tubemogul.com 10694
1579737350.781859832 2 sync.tubemogul.com syncf.tubemogul.com 33
1579737350.781859832 3 syncf.tubemogul.com h2.shared.global.fastly.net 3566
