1589396181.396773284 1 zhanqi.tv zhanqi.tv 599
1589396181.723048918 1 accounts.google.com accounts.google.com 299
1589396182.329545052 1 www.zhanqi.tv www.zhanqi.tv.fastcdn.com 6
1589396182.329545052 2 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589396182.329545052 3 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589396182.329545052 4 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589396182.329545052 5 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589396182.329545052 6 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589396182.329545052 7 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589396182.329545052 8 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589396182.329545052 9 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589396182.329545052 10 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589396182.329545052 11 www.zhanqi.tv.fastcdn.com www.zhanqi.tv 119
1589396188.031538465 1 <Root> svbqxbubmbiwpm 86398
1589396188.033918169 1 <Root> tlpsspvrlkz 86387
1589396188.035072046 1 <Root> kgtcwplo 86366
1589396191.032216644 1 ssl.gstatic.com ssl.gstatic.com 299
1589396200.153654298 1 static.zhanqi.tv static.zhanqi.tv.fastcdn.com 599
1589396200.153654298 2 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589396200.153654298 3 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589396200.153654298 4 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589396200.153654298 5 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589396200.153654298 6 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589396200.153654298 7 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589396200.153654298 8 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589396200.153654298 9 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589396200.153654298 10 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589396200.153654298 11 static.zhanqi.tv.fastcdn.com static.zhanqi.tv 119
1589396203.785041124 1 img3.zhanqi.tv iduzhok.qiniudns.com 599
1589396203.785041124 2 iduzhok.qiniudns.com tiny009.china.line.qiniudns.com 299
1589396203.785041124 3 tiny009.china.line.qiniudns.com tiny.china.qiniu.com.trpcdn.net 299
1589396203.785041124 4 tiny.china.qiniu.com.trpcdn.net zqnweb.v.trpcdn.net 599
1589396203.785041124 5 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589396203.785041124 6 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589396203.785041124 7 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589396203.785041124 8 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589396203.785041124 9 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589396203.785041124 10 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589396203.785041124 11 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589396203.785041124 12 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589396203.785041124 13 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589396203.785041124 14 zqnweb.v.trpcdn.net img3.zhanqi.tv 117
1589396203.941007946 1 img4.zhanqi.tv img4.zhanqi.tv.qiniudns.com 599
1589396203.941007946 2 img4.zhanqi.tv.qiniudns.com tiny32.china.line.qiniudns.com 599
1589396203.941007946 3 tiny32.china.line.qiniudns.com chinacdnweb.qiniu.com.w.kunlunno.com 299
1589396203.941007946 4 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589396203.941007946 5 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589396203.941007946 6 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589396203.941007946 7 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589396203.941007946 8 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589396203.941007946 9 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589396203.941007946 10 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589396203.941007946 11 chinacdnweb.qiniu.com.w.kunlunno.com img4.zhanqi.tv 59
1589396204.253936429 1 img2.zhanqi.tv img2.zhanqi.tv.fastcdn.com 599
1589396204.253936429 2 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 119
1589396204.253936429 3 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 119
1589396204.253936429 4 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 119
1589396204.253936429 5 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 119
1589396204.253936429 6 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 119
1589396204.253936429 7 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 119
1589396204.253936429 8 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 119
1589396204.253936429 9 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 119
1589396204.253936429 10 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 119
1589396204.253936429 11 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv 119
1589396204.648936198 1 h5player.zhanqi.tv h5player.zhanqi.tv.fastcdn.com 599
1589396204.648936198 2 h5player.zhanqi.tv.fastcdn.com h5player.zhanqi.tv.fastcdn.com 119
1589396204.648936198 3 h5player.zhanqi.tv.fastcdn.com h5player.zhanqi.tv 119
1589396204.971436604 1 log.reyun.com log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn 599
1589396204.971436604 2 log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn 32
1589396204.971436604 3 log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn 32
1589396204.971436604 4 log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn 32
1589396204.971436604 5 log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn log.reyun.com 32
1589396204.986264321 1 clients1.google.com clients.l.google.com 232
1589396204.986264321 2 clients.l.google.com clients1.google.com 232
1589396205.102111955 1 translate.googleapis.com translate.googleapis.com 299
