1589439706.600212138 1 sina.com.cn sina.com.cn 24
1589439707.502144760 1 interface.sina.cn icms.sina.cn 59
1589439707.502144760 2 icms.sina.cn interface.sina.cn 59
1589439708.613664819 1 sina.cn sina.cn 59
1589439710.122145265 1 ubuntu.com connectivity-check.ubuntu.com 1761
1589439710.122196664 1 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 397
1589439710.122196664 2 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 397
1589439711.106106306 1 mjs.sinaimg.cn mjs.gslb.sinaedge.com 59
1589439711.106106306 2 mjs.gslb.sinaedge.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 3 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 4 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 5 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 6 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 7 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 8 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 9 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 10 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 11 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 12 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 13 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 14 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589439711.106106306 15 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
