1580745812.401695519 2 pki-goog.l.google.com ocsp.pki.goog 204
1580745812.403253791 1 ocsp.pki.goog pki-goog.l.google.com 61
1580745812.403253791 2 pki-goog.l.google.com ocsp.pki.goog 299
1580745812.582895049 1 www.unimelb.edu.au gtm-cms.unimelb.edu.au 21599
1580745812.582895049 2 gtm-cms.unimelb.edu.au uom.squizedge.net 21599
1580745812.582895049 3 uom.squizedge.net www.unimelb.edu.au 299
1580745812.626706024 1 www.unimelb.edu.au gtm-cms.unimelb.edu.au 21599
1580745812.626706024 2 gtm-cms.unimelb.edu.au squizedge.net 21599
1580745812.626706024 3 squizedge.net www.unimelb.edu.au 899
1580745813.398495419 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 56
1580745813.398495419 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580745813.401833310 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 28
1580745813.401833310 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580745813.401833310 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580745813.401833310 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580745813.401833310 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580745813.773186156 1 zain.com zain.com 2516
1580745813.792747535 1 zain.com zain.com 911
1580745813.801754321 1 push.services.mozilla.com autopush.prod.mozaws.net 26
1580745813.801754321 2 autopush.prod.mozaws.net push.services.mozilla.com 26
1580745813.821305115 1 push.services.mozilla.com prod.mozaws.net 24
1580745813.821305115 2 prod.mozaws.net push.services.mozilla.com 135
1580745813.859079978 1 push.services.mozilla.com prod.mozaws.net 51
1580745813.859079978 2 prod.mozaws.net push.services.mozilla.com 37
1580745813.859114142 1 push.services.mozilla.com autopush.prod.mozaws.net 46
1580745813.859114142 2 autopush.prod.mozaws.net push.services.mozilla.com 46
1580745814.389013527 1 tags.tiqcdn.com tags.tiqcdn.com.edgekey.net 299
1580745814.389013527 2 tags.tiqcdn.com.edgekey.net a.akamaiedge.net 192
1580745814.389013527 3 a.akamaiedge.net tags.tiqcdn.com 898
1580745814.396030222 1 tags.tiqcdn.com tags.tiqcdn.com.edgekey.net 299
1580745814.396030222 2 tags.tiqcdn.com.edgekey.net e8091.a.akamaiedge.net 192
1580745814.396030222 3 e8091.a.akamaiedge.net tags.tiqcdn.com 19
1580745814.485400186 1 ocsp.digicert.com cs9.wac.phicdn.net 16886
1580745814.485400186 2 cs9.wac.phicdn.net ocsp.digicert.com 3037
1580745814.492847130 1 fonts.gstatic.com gstaticadssl.l.google.com 244
1580745814.492847130 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1580745814.492871334 1 fonts.gstatic.com gstaticadssl.l.google.com 299
1580745814.492871334 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1580745814.511945149 1 ocsp.digicert.com wac.phicdn.net 16493
1580745814.511945149 2 wac.phicdn.net ocsp.digicert.com 599
1580745815.217769080 1 player.vimeo.com fastly.net 140
1580745815.217769080 2 fastly.net player.vimeo.com 21
1580745815.224202666 1 player.vimeo.com vimeo.map.fastly.net 140
1580745815.224202666 2 vimeo.map.fastly.net vimeo.map.fastly.net 29
1580745815.224202666 3 vimeo.map.fastly.net vimeo.map.fastly.net 29
1580745815.224202666 4 vimeo.map.fastly.net vimeo.map.fastly.net 29
1580745815.224202666 5 vimeo.map.fastly.net player.vimeo.com 29
1580745815.345394189 1 www.google-analytics.com www-google-analytics.l.google.com 21355
1580745815.345394189 2 www-google-analytics.l.google.com www.google-analytics.com 55
1580745815.365983147 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1580745815.365983147 2 www-google-analytics.l.google.com www.google-analytics.com 299
1580745815.886003308 1 accounts.firefox.com accounts.firefox.com 883
1580745815.905782672 1 accounts.firefox.com accounts.firefox.com 17
1580745815.905782672 2 accounts.firefox.com accounts.firefox.com 17
1580745815.905782672 3 accounts.firefox.com accounts.firefox.com 17
1580745816.044174376 1 www.similarsites.com similarsites.com 1696
1580745816.044174376 2 similarsites.com www.similarsites.com 7
1580745816.044392491 1 www.similarsites.com similarsites.com 1742
1580745816.044392491 2 similarsites.com www.similarsites.com 242
1580745816.050974956 1 www.limeroad.com www.limeroad.com.edgekey.net 21345
1580745816.050974956 2 www.limeroad.com.edgekey.net e8339.dsca.akamaiedge.net 45
1580745816.050974956 3 e8339.dsca.akamaiedge.net e8339.dsca.akamaiedge.net 19
1580745816.050974956 4 e8339.dsca.akamaiedge.net www.limeroad.com 19
1580745816.055456421 1 www.limeroad.com www.limeroad.com.edgekey.net 21345
1580745816.055456421 2 www.limeroad.com.edgekey.net e8339.dsca.akamaiedge.net 45
1580745816.055456421 3 e8339.dsca.akamaiedge.net www.limeroad.com 19
1580745816.077238468 1 www.northeastern.edu northeastern.edu.edgekey.net 131
1580745816.077238468 2 northeastern.edu.edgekey.net e12215.dscb.akamaiedge.net 131
1580745816.077238468 3 e12215.dscb.akamaiedge.net e12215.dscb.akamaiedge.net 19
1580745816.077238468 4 e12215.dscb.akamaiedge.net www.northeastern.edu 19
1580745816.078333851 1 hatenablog.com hatenablog.com 28
1580745816.078333851 2 hatenablog.com hatenablog.com 28
1580745816.083876260 1 hatenablog.com hatenablog.com 416
1580745816.092916135 1 www.northeastern.edu northeastern.edu.edgekey.net 267
1580745816.092916135 2 northeastern.edu.edgekey.net e12215.dscb.akamaiedge.net 145
1580745816.092916135 3 e12215.dscb.akamaiedge.net e12215.dscb.akamaiedge.net 19
1580745816.092916135 4 e12215.dscb.akamaiedge.net www.northeastern.edu 19
1580745816.096134249 1 zain.com zain.com 2196
1580745816.107268648 1 es.xhamster2.com xhamster2.com 173
1580745816.107268648 2 xhamster2.com xhamster2.com 173
1580745816.107268648 3 xhamster2.com es.xhamster2.com 173
1580745816.107313865 1 es.xhamster2.com xhamster2.com 88
1580745816.107313865 2 xhamster2.com xhamster2.com 88
