1589394300.486630466 1 sohu.com sohu.com 599
1589394301.488667484 1 www.sohu.com gs.a.sohu.com 1799
1589394301.488667484 2 gs.a.sohu.com fhk.a.sohu.com 7199
1589394301.488667484 3 fhk.a.sohu.com www.sohu.com 119
1589394302.927207292 1 29e5534ea20a8.cdn.sohucs.com 29e5534ea20a8.cdn.sohucs.com.cdn.dnsv1.com 299
1589394302.927207292 2 29e5534ea20a8.cdn.sohucs.com.cdn.dnsv1.com 29e5534ea20a8.cdn.sohucs.com.tweb.sched.ovscdns.com 599
1589394302.927207292 3 29e5534ea20a8.cdn.sohucs.com.tweb.sched.ovscdns.com 29e5534ea20a8.cdn.sohucs.com.tweb.sched.ovscdns.com 179
1589394302.927207292 4 29e5534ea20a8.cdn.sohucs.com.tweb.sched.ovscdns.com 29e5534ea20a8.cdn.sohucs.com.tweb.sched.ovscdns.com 179
1589394302.927207292 5 29e5534ea20a8.cdn.sohucs.com.tweb.sched.ovscdns.com 29e5534ea20a8.cdn.sohucs.com.tweb.sched.ovscdns.com 179
1589394302.927207292 6 29e5534ea20a8.cdn.sohucs.com.tweb.sched.ovscdns.com 29e5534ea20a8.cdn.sohucs.com 179
1589394302.980088584 1 statics.itc.cn statics.itc.cn.o.sohu.com 599
1589394302.980088584 2 statics.itc.cn.o.sohu.com statics.itc.cn.cdn.dnsv1.com 599
1589394302.980088584 3 statics.itc.cn.cdn.dnsv1.com 013136df.tweb.sched.ovscdns.com 599
1589394302.980088584 4 013136df.tweb.sched.ovscdns.com 013136df.tweb.sched.ovscdns.com 179
1589394302.980088584 5 013136df.tweb.sched.ovscdns.com 013136df.tweb.sched.ovscdns.com 179
1589394302.980088584 6 013136df.tweb.sched.ovscdns.com 013136df.tweb.sched.ovscdns.com 179
1589394302.980088584 7 013136df.tweb.sched.ovscdns.com statics.itc.cn 179
1589394303.449925124 1 39d0825d09f05.cdn.sohucs.com 39d0825d09f05.cdn.sohucs.com.wsglb0.com 599
1589394303.449925124 2 39d0825d09f05.cdn.sohucs.com.wsglb0.com 39d0825d09f05.cdn.sohucs.com 59
1589394303.710271437 1 images.sohu.com images.sohu.com.cdn.dnsv1.com 1799
1589394303.710271437 2 images.sohu.com.cdn.dnsv1.com images.sohu.com.tweb.sched.ovscdns.com 599
1589394303.710271437 3 images.sohu.com.tweb.sched.ovscdns.com images.sohu.com.tweb.sched.ovscdns.com 179
1589394303.710271437 4 images.sohu.com.tweb.sched.ovscdns.com images.sohu.com.tweb.sched.ovscdns.com 179
1589394303.710271437 5 images.sohu.com.tweb.sched.ovscdns.com images.sohu.com.tweb.sched.ovscdns.com 179
1589394303.710271437 6 images.sohu.com.tweb.sched.ovscdns.com images.sohu.com 179
1589394303.800427587 1 txt.go.sohu.com gd.a.sohu.com 599
1589394303.800427587 2 gd.a.sohu.com f7hk.a.sohu.com 7199
1589394303.800427587 3 f7hk.a.sohu.com txt.go.sohu.com 119
1589394303.863617084 1 js.sohu.com gs.a.sohu.com 1799
