1589391386.128446161 1 mama.cn mama.cn 599
1589391386.218543148 1 accounts.google.com accounts.google.com 36
1589391390.138602185 1 www.mama.cn cname.mama.cn 599
1589391390.138602185 2 cname.mama.cn www.mama.cn 0
1589391392.470010986 1 static1.cdnmama.com static1.cdnmama.com.cdn.dnsv1.com 599
1589391392.470010986 2 static1.cdnmama.com.cdn.dnsv1.com 1922114.p23.tc.cdntip.com 599
1589391392.470010986 3 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589391392.470010986 4 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589391392.470010986 5 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589391392.470010986 6 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589391392.470010986 7 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589391392.470010986 8 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589391392.470010986 9 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589391392.470010986 10 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589391392.470010986 11 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589391392.470010986 12 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589391392.470010986 13 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589391392.470010986 14 1922114.p23.tc.cdntip.com static1.cdnmama.com 179
1589391392.710948451 1 <Root> hmcqlvivxxdy 86393
1589391392.713636157 1 <Root> tkgeclmvgh 86388
1589391392.716103548 1 <Root> lvpenjuzlvbiao 86383
1589391394.989164702 1 m.mama.cn cname.mama.cn 599
1589391394.989164702 2 cname.mama.cn m.mama.cn 0
1589391395.172677270 1 api-luke.mama.cn api-luke.mama.cn.cdn.dnsv1.com 599
1589391395.172677270 2 api-luke.mama.cn.cdn.dnsv1.com 395745.p23.tc.cdntip.com 599
1589391395.172677270 3 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589391395.172677270 4 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589391395.172677270 5 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589391395.172677270 6 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589391395.172677270 7 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589391395.172677270 8 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589391395.172677270 9 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589391395.172677270 10 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589391395.172677270 11 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589391395.172677270 12 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589391395.172677270 13 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589391395.172677270 14 395745.p23.tc.cdntip.com api-luke.mama.cn 179
1589391395.709456080 1 ssl.gstatic.com ssl.gstatic.com 56
1589391395.886404162 1 qimg.cdnmama.com qimg.cdnmama.com.cdn.dnsv1.com 599
1589391395.886404162 2 qimg.cdnmama.com.cdn.dnsv1.com 1920388.p23.tc.cdntip.com 599
1589391395.886404162 3 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589391395.886404162 4 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589391395.886404162 5 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589391395.886404162 6 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589391395.886404162 7 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589391395.886404162 8 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589391395.886404162 9 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589391395.886404162 10 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589391395.886404162 11 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589391395.886404162 12 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589391395.886404162 13 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589391395.886404162 14 1920388.p23.tc.cdntip.com qimg.cdnmama.com 179
1589391396.485640625 1 pics.cdnmama.com pics.cdnmama.com.cdn.dnsv1.com 599
1589391396.485640625 2 pics.cdnmama.com.cdn.dnsv1.com 1920363.p23.tc.cdntip.com 599
1589391396.485640625 3 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589391396.485640625 4 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589391396.485640625 5 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589391396.485640625 6 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589391396.485640625 7 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589391396.485640625 8 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589391396.485640625 9 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589391396.485640625 10 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589391396.485640625 11 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589391396.485640625 12 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589391396.485640625 13 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589391396.485640625 14 1920363.p23.tc.cdntip.com pics.cdnmama.com 179
1589391397.084038142 1 imagesyuansu.bjmama.net imagesyuansu.bjmama.net.cdn.dnsv1.com 599
1589391397.084038142 2 imagesyuansu.bjmama.net.cdn.dnsv1.com 287123.p23.tc.cdntip.com 599
1589391397.084038142 3 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 179
1589391397.084038142 4 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 179
1589391397.084038142 5 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 179
1589391397.084038142 6 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 179
1589391397.084038142 7 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 179
1589391397.084038142 8 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 179
1589391397.084038142 9 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 179
1589391397.084038142 10 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 179
1589391397.084038142 11 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 179
1589391397.084038142 12 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 179
1589391397.084038142 13 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 179
1589391397.084038142 14 287123.p23.tc.cdntip.com imagesyuansu.bjmama.net 179
1589391397.384152255 1 pt-images1.cdnmama.com pt-images1.cdnmama.com.qiniudns.com 599
1589391397.384152255 2 pt-images1.cdnmama.com.qiniudns.com tiny45.china.line.qiniudns.com 599
1589391397.384152255 3 tiny45.china.line.qiniudns.com tinychinacdnweb.qiniu.com.w.kunlunno.com 299
1589391397.384152255 4 tinychinacdnweb.qiniu.com.w.kunlunno.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 5 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 6 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 7 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 8 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 9 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 10 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 11 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 12 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 13 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 14 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 15 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 16 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 17 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 18 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 19 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589391397.384152255 20 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com pt-images1.cdnmama.com 59
1589391397.468179792 1 pt-images2.cdnmama.com pt-images2.cdnmama.com.qiniudns.com 599
