1589430548.077725283 1 mama.cn mama.cn 599
1589430548.470426636 1 accounts.google.com accounts.google.com 299
1589430552.328810186 1 www.mama.cn cname.mama.cn 599
1589430552.328810186 2 cname.mama.cn www.mama.cn 0
1589430554.798720795 1 <Root> viwexddsijbns 86383
1589430554.800092528 1 <Root> iqgqdxavm 86395
1589430554.801781114 1 <Root> htztseofnxl 86382
1589430556.810637223 1 static1.cdnmama.com static1.cdnmama.com.cdn.dnsv1.com 599
1589430556.810637223 2 static1.cdnmama.com.cdn.dnsv1.com 1922114.p23.tc.cdntip.com 599
1589430556.810637223 3 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589430556.810637223 4 1922114.p23.tc.cdntip.com static1.cdnmama.com 179
1589430557.798334340 1 ssl.gstatic.com ssl.gstatic.com 76
1589430558.830369791 1 qimg.cdnmama.com qimg.cdnmama.com.cdn.dnsv1.com 599
1589430558.830369791 2 qimg.cdnmama.com.cdn.dnsv1.com 1920388.p23.tc.cdntip.com 599
1589430558.830369791 3 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589430558.830369791 4 1920388.p23.tc.cdntip.com qimg.cdnmama.com 179
1589430558.860623879 1 pics.cdnmama.com pics.cdnmama.com.cdn.dnsv1.com 599
1589430558.860623879 2 pics.cdnmama.com.cdn.dnsv1.com 1920363.p23.tc.cdntip.com 599
1589430558.860623879 3 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589430558.860623879 4 1920363.p23.tc.cdntip.com pics.cdnmama.com 179
1589430558.882969417 1 api-luke.mama.cn api-luke.mama.cn.cdn.dnsv1.com 599
1589430558.882969417 2 api-luke.mama.cn.cdn.dnsv1.com 395745.p23.tc.cdntip.com 7199
1589430558.882969417 3 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589430558.882969417 4 395745.p23.tc.cdntip.com api-luke.mama.cn 179
1589430558.926204899 1 avatar.mama.cn avatar-mama-cn-idv9gs0.qiniudns.com 0
1589430558.926204899 2 avatar-mama-cn-idv9gs0.qiniudns.com tiny45.china.line.qiniudns.com 599
1589430558.926204899 3 tiny45.china.line.qiniudns.com tinychinacdnweb.qiniu.com.w.kunlunno.com 299
1589430558.926204899 4 tinychinacdnweb.qiniu.com.w.kunlunno.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589430558.926204899 5 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589430558.926204899 6 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589430558.926204899 7 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589430558.926204899 8 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589430558.926204899 9 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589430558.926204899 10 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589430558.926204899 11 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589430558.926204899 12 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589430558.926204899 13 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
