1589329080.786822873 1 tribunnews.com tribunnews.com 264
1589329081.392319573 1 www.tribunnews.com d3hndmbr6e28d5.cloudfront.net 107
1589329081.392319573 2 d3hndmbr6e28d5.cloudfront.net d3hndmbr6e28d5.cloudfront.net 59
1589329081.392319573 3 d3hndmbr6e28d5.cloudfront.net d3hndmbr6e28d5.cloudfront.net 59
1589329081.392319573 4 d3hndmbr6e28d5.cloudfront.net d3hndmbr6e28d5.cloudfront.net 59
1589329081.392319573 5 d3hndmbr6e28d5.cloudfront.net www.tribunnews.com 59
1589329081.561265872 1 maxcdn.bootstrapcdn.com cds.j3z9t3p6.hwcdn.net 214
1589329081.561265872 2 cds.j3z9t3p6.hwcdn.net maxcdn.bootstrapcdn.com 214
1589329081.586598593 1 securepubads.g.doubleclick.net partnerad.l.doubleclick.net 21599
1589329081.586598593 2 partnerad.l.doubleclick.net securepubads.g.doubleclick.net 299
1589329081.587363257 1 fonts.gstatic.com gstaticadssl.l.google.com 299
1589329081.587363257 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1589329081.588449564 1 cdn1.tstatic.net cdn1.tstatic.net.akamaized.net 150
1589329081.588449564 2 cdn1.tstatic.net.akamaized.net a1737.d.akamai.net 21369
1589329081.588449564 3 a1737.d.akamai.net a1737.d.akamai.net 19
1589329081.588449564 4 a1737.d.akamai.net cdn1.tstatic.net 19
1589329081.592421591 1 fonts.googleapis.com fonts.googleapis.com 299
1589329081.736518673 1 cdn3.tstatic.net cdn3.tstatic.net.akamaized.net 174
1589329081.736518673 2 cdn3.tstatic.net.akamaized.net a1054.d.akamai.net 21474
1589329081.736518673 3 a1054.d.akamai.net a1054.d.akamai.net 19
1589329081.736518673 4 a1054.d.akamai.net cdn3.tstatic.net 19
1589329081.772046536 1 www.gstatic.com www.gstatic.com 299
1589329081.786219957 1 connect.facebook.net scontent.xx.fbcdn.net 2034
1589329081.786219957 2 scontent.xx.fbcdn.net connect.facebook.net 59
1589329081.794178184 1 asset.kompas.com asset.kompas.com.edgesuite.net 172
1589329081.794178184 2 asset.kompas.com.edgesuite.net a1977.b.akamai.net 21545
1589329081.794178184 3 a1977.b.akamai.net a1977.b.akamai.net 19
1589329081.794178184 4 a1977.b.akamai.net asset.kompas.com 19
1589329081.814597904 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1589329081.814597904 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1589329081.824000521 1 cdn2.tstatic.net cdn2.tstatic.net.akamaized.net 68
1589329081.824000521 2 cdn2.tstatic.net.akamaized.net a1601.d.akamai.net 21083
1589329081.824000521 3 a1601.d.akamai.net a1601.d.akamai.net 19
1589329081.824000521 4 a1601.d.akamai.net cdn2.tstatic.net 19
1589329081.909827234 1 adservice.google.es pagead46.l.doubleclick.net 299
1589329081.909827234 2 pagead46.l.doubleclick.net adservice.google.es 299
1589329081.910280355 1 adservice.google.com pagead46.l.doubleclick.net 299
1589329081.910280355 2 pagead46.l.doubleclick.net adservice.google.com 299
1589329081.940089552 1 plus.google.com plus.google.com 299
1589329081.949336769 1 bb6fa1fe.jba.tribunnews.com d2shks6c30d7l0.cloudfront.net 21599
1589329081.949336769 2 d2shks6c30d7l0.cloudfront.net d2shks6c30d7l0.cloudfront.net 59
1589329081.949336769 3 d2shks6c30d7l0.cloudfront.net d2shks6c30d7l0.cloudfront.net 59
1589329081.949336769 4 d2shks6c30d7l0.cloudfront.net d2shks6c30d7l0.cloudfront.net 59
1589329081.949336769 5 d2shks6c30d7l0.cloudfront.net bb6fa1fe.jba.tribunnews.com 59
1589329082.104875132 1 ib.adnxs.com g.geogslb.com 134
1589329082.104875132 2 g.geogslb.com ib.anycast.adnxs.com 10309
1589329082.104875132 3 ib.anycast.adnxs.com ib.anycast.adnxs.com 28
1589329082.104875132 4 ib.anycast.adnxs.com ib.anycast.adnxs.com 28
1589329082.104875132 5 ib.anycast.adnxs.com ib.anycast.adnxs.com 28
1589329082.104875132 6 ib.anycast.adnxs.com ib.anycast.adnxs.com 28
1589329082.104875132 7 ib.anycast.adnxs.com ib.anycast.adnxs.com 28
1589329082.104875132 8 ib.anycast.adnxs.com ib.anycast.adnxs.com 28
1589329082.104875132 9 ib.anycast.adnxs.com ib.anycast.adnxs.com 28
1589329082.104875132 10 ib.anycast.adnxs.com ib.adnxs.com 28
1589329082.118561096 1 bidder.criteo.com bidder.par.vip.prod.criteo.com 299
1589329082.118561096 2 bidder.par.vip.prod.criteo.com bidder.criteo.com 3599
1589329082.118747493 1 hbopenbid.pubmatic.com hbopenbid22000nfc.pubmatic.com 190
1589329082.118747493 2 hbopenbid22000nfc.pubmatic.com hbopenbid22000nf.pubmatic.com 190
1589329082.118747493 3 hbopenbid22000nf.pubmatic.com hbopenbid.pubmatic.com 190
1589329082.123339393 1 as-sec.casalemedia.com as-sec.casalemedia.com.edgekey.net 3147
1589329082.123339393 2 as-sec.casalemedia.com.edgekey.net e8037.g.akamaiedge.net 5019
1589329082.123339393 3 e8037.g.akamaiedge.net as-sec.casalemedia.com 19
1589329082.129186545 1 search.spotxchange.com geo.search-gtm.spotxchange.com.akadns.net 463
1589329082.129186545 2 geo.search-gtm.spotxchange.com.akadns.net ams01.search.spotxchange.com 265
1589329082.129186545 3 ams01.search.spotxchange.com ams01.search.spotxchange.com 542
1589329082.129186545 4 ams01.search.spotxchange.com search.spotxchange.com 542
1589329082.145408228 1 ad2.apx.appier.net ad2.apx.appier.net 51
1589329082.151057418 1 kompascybermedia-d.openx.net kompascybermedia-d.openx.net 899
1589329082.162435646 1 tlx.3lift.com eu-tlx.3lift.com 21599
1589329082.162435646 2 eu-tlx.3lift.com dualstack.exchange-prod-223589462.eu-central-1.elb.amazonaws.com 299
1589329082.162435646 3 dualstack.exchange-prod-223589462.eu-central-1.elb.amazonaws.com dualstack.exchange-prod-223589462.eu-central-1.elb.amazonaws.com 24
