1579654303.484799688 3 pixel-euc102-lighttpd.pixel.quantserve.net internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 164
1579654303.484799688 4 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 3
1579654303.484799688 5 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 3
1579654303.484799688 6 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 3
1579654303.484799688 7 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 3
1579654303.484799688 8 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 3
1579654303.484799688 9 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 3
1579654303.484799688 10 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 3
1579654303.484799688 11 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com pixel.quantserve.com 3
1579654303.493592491 1 dmp.adform.net track.adformnet.akadns.net 3316
1579654303.493592491 2 track.adformnet.akadns.net track-eu.adformnet.akadns.net 599
1579654303.493592491 3 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 599
1579654303.493592491 4 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 599
1579654303.493592491 5 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 599
1579654303.493592491 6 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 599
1579654303.493592491 7 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 599
1579654303.493592491 8 track-eu.adformnet.akadns.net dmp.adform.net 599
1579654303.496475985 1 securepubads.g.doubleclick.net partnerad.l.doubleclick.net 2637
1579654303.496475985 2 partnerad.l.doubleclick.net securepubads.g.doubleclick.net 299
1579654303.549235199 1 www.google-analytics.com www-google-analytics.l.google.com 21469
1579654303.549235199 2 www-google-analytics.l.google.com www.google-analytics.com 169
1579654303.579921725 1 script.crazyegg.com script.crazyegg.com.cdn.cloudflare.net 37
1579654303.579921725 2 script.crazyegg.com.cdn.cloudflare.net script.crazyegg.com.cdn.cloudflare.net 41
1579654303.579921725 3 script.crazyegg.com.cdn.cloudflare.net script.crazyegg.com 41
1579654303.588802080 1 connect.facebook.net scontent.xx.fbcdn.net 1428
1579654303.588802080 2 scontent.xx.fbcdn.net connect.facebook.net 59
1579654303.594210140 1 ad.doubleclick.net dart.l.doubleclick.net 21458
1579654303.594210140 2 dart.l.doubleclick.net ad.doubleclick.net 299
1579654303.595539780 1 loader.wisepops.com loader.wisepops.com 299
1579654303.595539780 2 loader.wisepops.com loader.wisepops.com 299
1579654303.976331681 1 cdn.firstimpression.io cdn.firstimpression.io 27
1579654303.976331681 2 cdn.firstimpression.io cdn.firstimpression.io 27
1579654303.976331681 3 cdn.firstimpression.io cdn.firstimpression.io 27
1579654304.010041558 1 pba.aws.lijit.com pba-collector-env.s29hm2kre6.us-east-2.elasticbeanstalk.com 1
1579654304.010041558 2 pba-collector-env.s29hm2kre6.us-east-2.elasticbeanstalk.com pba-collector-env.s29hm2kre6.us-east-2.elasticbeanstalk.com 14
1579654304.010041558 3 pba-collector-env.s29hm2kre6.us-east-2.elasticbeanstalk.com pba-collector-env.s29hm2kre6.us-east-2.elasticbeanstalk.com 14
1579654304.010041558 4 pba-collector-env.s29hm2kre6.us-east-2.elasticbeanstalk.com pba.aws.lijit.com 14
1579654304.013504321 1 cm.g.doubleclick.net pagead.l.doubleclick.net 16027
1579654304.013504321 2 pagead.l.doubleclick.net cm.g.doubleclick.net 299
1579654304.178285427 1 tpc.googlesyndication.com tpc.googlesyndication.com 267
1579654304.279561651 1 popup.wisepops.com popup.wisepops.com 270
1579654304.279561651 2 popup.wisepops.com popup.wisepops.com 270
1579654304.316213585 1 s.w.org s.w.org 218
1579654304.935177246 1 d.turn.com d.turn.com.akadns.net 418
1579654304.935177246 2 d.turn.com.akadns.net d.turn.com 148
1579654304.935202497 1 sync.mathtag.com pixel-origin.mathtag.com 893
1579654304.935202497 2 pixel-origin.mathtag.com pixel-origin.mathtag.com 23
1579654304.935202497 3 pixel-origin.mathtag.com pixel-origin.mathtag.com 23
1579654304.935202497 4 pixel-origin.mathtag.com pixel-origin.mathtag.com 23
1579654304.935202497 5 pixel-origin.mathtag.com sync.mathtag.com 23
1579654305.021192782 1 log.pinterest.com prod.pinterest.global.map.fastly.net 2597
1579654305.021192782 2 prod.pinterest.global.map.fastly.net prod.pinterest.global.map.fastly.net 29
1579654305.021192782 3 prod.pinterest.global.map.fastly.net prod.pinterest.global.map.fastly.net 29
1579654305.021192782 4 prod.pinterest.global.map.fastly.net prod.pinterest.global.map.fastly.net 29
1579654305.021192782 5 prod.pinterest.global.map.fastly.net log.pinterest.com 29
1579654305.166064886 1 googleads.g.doubleclick.net pagead46.l.doubleclick.net 69
1579654305.166064886 2 pagead46.l.doubleclick.net googleads.g.doubleclick.net 299
1579654305.180275696 1 protected-by.clarium.io adserver-clarium-1405844056.eu-central-1.elb.amazonaws.com 18671
1579654305.180275696 2 adserver-clarium-1405844056.eu-central-1.elb.amazonaws.com adserver-clarium-1405844056.eu-central-1.elb.amazonaws.com 20
1579654305.180275696 3 adserver-clarium-1405844056.eu-central-1.elb.amazonaws.com adserver-clarium-1405844056.eu-central-1.elb.amazonaws.com 20
1579654305.180275696 4 adserver-clarium-1405844056.eu-central-1.elb.amazonaws.com adserver-clarium-1405844056.eu-central-1.elb.amazonaws.com 20
1579654305.180275696 5 adserver-clarium-1405844056.eu-central-1.elb.amazonaws.com protected-by.clarium.io 20
1579654305.315698195 1 sync-tm.everesttech.net sync.tubemogul.com 10664
1579654305.315698195 2 sync.tubemogul.com syncf.tubemogul.com 53
1579654305.315698195 3 syncf.tubemogul.com h2.shared.global.fastly.net 3402
1579654305.315698195 4 h2.shared.global.fastly.net h2.shared.global.fastly.net 29
