1589422593.155237924 1 caijing.com.cn caijing.com.cn 3599
1589422594.291582413 1 tx1.cdn.caijing.com.cn cj.caijing.com.cn.txcdn.cn 599
1589422594.291582413 2 cj.caijing.com.cn.txcdn.cn 2micnoq3pvbtgpnuwe4wfd0vjf1eb45d.wtxcdn.com 299
1589422594.291582413 3 2micnoq3pvbtgpnuwe4wfd0vjf1eb45d.wtxcdn.com tx1.cdn.caijing.com.cn 29
1589422594.340695582 1 file.caijing.com.cn file.f5.caijing.com.cn 1799
1589422594.340695582 2 file.f5.caijing.com.cn file.caijing.com.cn 29
1589422594.341768832 1 img6.caijing.com.cn img6.f5.caijing.com.cn 599
1589422594.341768832 2 img6.f5.caijing.com.cn img6.caijing.com.cn 29
1589422594.345443490 1 image.caijing.com.cn image.f5.caijing.com.cn 599
1589422594.345443490 2 image.f5.caijing.com.cn image.caijing.com.cn 29
1589422594.357725113 1 img3.caijing.com.cn img3.f5.caijing.com.cn 599
1589422594.357725113 2 img3.f5.caijing.com.cn img3.caijing.com.cn 29
1589422594.370948567 1 ad.caijing.com.cn ad.f5.caijing.com.cn 599
1589422594.370948567 2 ad.f5.caijing.com.cn ad.caijing.com.cn 29
1589422595.098001948 1 auto.caijing.com.cn auto.f5.caijing.com.cn 564
1589422595.098001948 2 auto.f5.caijing.com.cn auto.caijing.com.cn 29
1589422595.221608061 1 kxlogo.knet.cn kxlogo.knet.cn 299
1589422595.788375633 1 img5.caijing.com.cn img5.f5.caijing.com.cn 599
1589422595.788375633 2 img5.f5.caijing.com.cn img5.caijing.com.cn 29
1589422596.250675530 1 cacerts.geotrust.com cacerts.digicert.com 72
1589422596.250675530 2 cacerts.digicert.com cdn.digicertcdn.com 291
1589422596.250675530 3 cdn.digicertcdn.com cdn.digicertcdn.com 52
1589422596.250675530 4 cdn.digicertcdn.com cacerts.geotrust.com 52
1589422596.594309485 1 tx3.cdn.caijing.com.cn cj.caijing.com.cn.txcdn.cn 565
1589422596.594309485 2 cj.caijing.com.cn.txcdn.cn 2micnoq3pvbtgpnuwe4wfd0vjf1eb45d.wtxcdn.com 265
1589422596.594309485 3 2micnoq3pvbtgpnuwe4wfd0vjf1eb45d.wtxcdn.com tx3.cdn.caijing.com.cn 29
1589422596.616576273 1 tx2.cdn.caijing.com.cn cj.caijing.com.cn.txcdn.cn 599
1589422596.616576273 2 cj.caijing.com.cn.txcdn.cn 2micnoq3pvbtgpnuwe4wfd0vjf1eb45d.wtxcdn.com 299
1589422596.616576273 3 2micnoq3pvbtgpnuwe4wfd0vjf1eb45d.wtxcdn.com tx2.cdn.caijing.com.cn 29
1589422596.631107544 1 img4.caijing.com.cn img4.f5.caijing.com.cn 599
1589422596.631107544 2 img4.f5.caijing.com.cn img4.caijing.com.cn 29
1589422596.658264041 1 img1.caijing.com.cn img1.f5.caijing.com.cn 599
1589422596.658264041 2 img1.f5.caijing.com.cn img1.caijing.com.cn 29
1589422597.324658497 1 stock.10jqka.com.cn cachetw.10jqka.com.cn 59
1589422597.324658497 2 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 3 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 4 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 5 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 6 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 7 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 8 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 9 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 10 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 11 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 12 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 13 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 14 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 15 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 16 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 17 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 18 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 19 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 20 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 21 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 22 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422597.324658497 23 cachetw.10jqka.com.cn stock.10jqka.com.cn 14399
1589422598.170221080 1 s.thsi.cn cachetw.thsi.cn 59
1589422598.170221080 2 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 3 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 4 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 5 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 6 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 7 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 8 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 9 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 10 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 11 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 12 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 13 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 14 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 15 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 16 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 17 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 18 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 19 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 20 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 21 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 22 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.170221080 23 cachetw.thsi.cn s.thsi.cn 21599
1589422598.233999045 1 i.thsi.cn cachetw.thsi.cn 59
1589422598.233999045 2 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 3 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 4 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 5 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 6 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 7 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 8 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 9 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 10 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 11 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 12 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 13 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 14 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 15 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 16 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 17 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 18 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 19 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 20 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 21 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 22 cachetw.thsi.cn cachetw.thsi.cn 21599
1589422598.233999045 23 cachetw.thsi.cn i.thsi.cn 21599
1589422598.288567743 1 www.10jqka.com.cn cachetw.10jqka.com.cn 59
1589422598.288567743 2 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422598.288567743 3 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422598.288567743 4 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422598.288567743 5 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422598.288567743 6 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422598.288567743 7 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422598.288567743 8 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589422598.288567743 9 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
