1579679361.324033315 1 www.gstatic.com www.gstatic.com 299
1579679361.424996397 1 olx.com.br olx.com.br 59
1579679361.424996397 2 olx.com.br olx.com.br 59
1579679361.424996397 3 olx.com.br olx.com.br 59
1579679361.424996397 4 olx.com.br olx.com.br 59
1579679361.513721639 1 accounts.google.com accounts.google.com 287
1579679362.244101282 1 cdnjs.cloudflare.com cdnjs.cloudflare.com 67
1579679362.244101282 2 cdnjs.cloudflare.com cdnjs.cloudflare.com 67
1579679362.270847124 1 www.googletagmanager.com www-googletagmanager.l.google.com 21568
1579679362.270847124 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1579679362.273907806 1 fonts.googleapis.com fonts.googleapis.com 299
1579679362.285748009 1 static.olx.com.br dfjn2bk5g06b.cloudfront.net 59
1579679362.285748009 2 dfjn2bk5g06b.cloudfront.net dfjn2bk5g06b.cloudfront.net 59
1579679362.285748009 3 dfjn2bk5g06b.cloudfront.net dfjn2bk5g06b.cloudfront.net 59
1579679362.285748009 4 dfjn2bk5g06b.cloudfront.net dfjn2bk5g06b.cloudfront.net 59
1579679362.285748009 5 dfjn2bk5g06b.cloudfront.net static.olx.com.br 59
1579679362.394701091 1 tags.t.tailtarget.com tags.t.tailtarget.com 72
1579679362.408846040 1 fonts.gstatic.com gstaticadssl.l.google.com 10
1579679362.408846040 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1579679362.550546592 1 apigw.olx.com.br apigw.olx.com.br 11
1579679362.550546592 2 apigw.olx.com.br apigw.olx.com.br 11
1579679362.550546592 3 apigw.olx.com.br apigw.olx.com.br 11
1579679362.550546592 4 apigw.olx.com.br apigw.olx.com.br 11
1579679362.550546592 5 apigw.olx.com.br apigw.olx.com.br 11
1579679362.550546592 6 apigw.olx.com.br apigw.olx.com.br 11
1579679362.550546592 7 apigw.olx.com.br apigw.olx.com.br 11
1579679362.550546592 8 apigw.olx.com.br apigw.olx.com.br 11
1579679362.612201965 1 static.hotjar.com static.hotjar.com.c.section.io 2302
1579679362.612201965 2 static.hotjar.com.c.section.io map16-100.s.section.io 199
1579679362.612201965 3 map16-100.s.section.io map16-100.s.section.io 119
