1589371488.848265187 1 accounts.google.com accounts.google.com 248
1589371489.820554948 1 yy.com yy.com 119
1589371489.820554948 2 yy.com yy.com 119
1589371490.447540329 1 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 457
1589371490.447540329 2 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 457
1589371490.447582711 1 ubuntu.com connectivity-check.ubuntu.com 1413
1589371490.718609422 1 www.yy.com www.yy.com 59
1589371490.718609422 2 www.yy.com www.yy.com 59
1589371490.718609422 3 www.yy.com www.yy.com 59
1589371490.718609422 4 www.yy.com www.yy.com 59
1589371494.400861465 1 zonemin.bs2.yy.com zonemin.bs2.yy.com 119
1589371494.627379695 1 emyms.bs2cdn.yy.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 2 all.bs2cdn.yy.com.w.kunlunhuf.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 3 all.bs2cdn.yy.com.w.kunlunhuf.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 4 all.bs2cdn.yy.com.w.kunlunhuf.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 5 all.bs2cdn.yy.com.w.kunlunhuf.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 6 all.bs2cdn.yy.com.w.kunlunhuf.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 7 all.bs2cdn.yy.com.w.kunlunhuf.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 8 all.bs2cdn.yy.com.w.kunlunhuf.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 9 all.bs2cdn.yy.com.w.kunlunhuf.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 10 all.bs2cdn.yy.com.w.kunlunhuf.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 11 all.bs2cdn.yy.com.w.kunlunhuf.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 12 all.bs2cdn.yy.com.w.kunlunhuf.com all.bs2cdn.yy.com.w.kunlunhuf.com 59
1589371494.627379695 13 all.bs2cdn.yy.com.w.kunlunhuf.com emyms.bs2cdn.yy.com 59
1589371495.091927372 1 res.udb.duowan.com res.udb.duowan.com.w.kunlunhuf.com 59
1589371495.091927372 2 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589371495.091927372 3 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589371495.091927372 4 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589371495.091927372 5 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589371495.091927372 6 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589371495.091927372 7 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
